p_0,p_1,alpha_2,mu0_0,mu0_1,beta_2,mu1_0,mu1_1,gamma_2,count,bias_RA,var_RA,bias_IPW,var_IPW,bias_AIPW,var_AIPW,bias_IPWRA,var_IPWRA,bias_NNMATCH,var_NNMATCH,bias_PSMATCH,var_PSMATCH,_merge,MSE_RA,MSE_IPW,MSE_AIPW,MSE_IPWRA,MSE_NNMATCH,MSE_PSMATCH,min_absbias,minimizing_absbias
.75,.25,.5,.25,.75,-.5,.5,.5,1.6,260,-.0065848031,.001895114,.015576881,.0021722615,.013096319,.0020715715,.14429957,.0074334601,-.00062700023,.002550127,-.0005980003,.0025469663,matched (3),.0019384735,.0024149008,.0022430851,.028255826,.00255052,.0025473239,.0065848031,1
.75,.25,.5,.25,.75,.5,.75,.25,-1.42,261,.0078035356,.0020413282,-.0036864236,.0022025672,-.0097623523,.0021238611,-.80850971,.007080717,-.000069999383,.002753926,-.000079999489,.0027560417,matched (3),.0021022235,.0022161568,.0022191647,.66076869,.0027539309,.002756048,.0036864236,2
.75,.25,.5,.25,.75,.5,.75,.25,-.5,262,.0062480718,.0022708285,.0016268271,.0024032311,-.0011163586,.0022950186,-.64996845,.007332006,.00052800006,.0031200333,.0005400001,.0031204845,matched (3),.0023098669,.0024058777,.002296265,.42979097,.003120312,.003120776,.0011163586,3
.75,.25,.5,.25,.75,.5,.75,.25,.5,263,.0044861673,.0023268077,.0072038271,.0024514748,.0081177289,.0023769236,-.47995433,.0070712068,-.00044799998,.0030486721,-.00040399999,.0030463904,matched (3),.0023469334,.0025033699,.0024428212,.23742737,.0030488728,.0030465536,.0044861673,1
.75,.25,.5,.25,.75,.5,.75,.25,1.42,264,.0030630501,.0019856156,.012484252,.0021069858,.016707007,.0021211794,-.3234511,.0068898294,-.00064100005,.0024886064,-.00062400004,.0024889889,matched (3),.001994998,.0022628424,.0024003035,.11151045,.0024890173,.0024893782,.0030630501,1
.75,.25,.5,.25,.75,.5,.25,.75,-1.42,265,.0077858856,.0017273446,.0088582737,.0018986482,-.0096506923,.0017877697,-.31927213,.0043621385,.0010119996,.0023054741,.00098999951,.002306452,matched (3),.0017879646,.0019771173,.0018809056,.10629683,.0023064984,.002307432,.0077858856,1
.75,.25,.5,.25,.75,.5,.25,.75,-.5,266,.0064602317,.0019488441,.014273765,.0021812397,-.00097297691,.0019587027,-.15205428,.0046898508,.0010180001,.0026549406,.001026,.0026557785,matched (3),.0019905786,.00238498,.0019596494,.027810356,.0026559769,.0026568312,.00097297691,3
.75,.25,.5,.25,.75,.5,.25,.75,.5,267,.0049349773,.0021004414,.020032162,.0024070437,.0084388666,.0021302612,.02569226,.0049988418,-.000166,.0028752557,-.00013999997,.0028774964,matched (3),.0021247955,.0028083313,.0022014757,.0056589339,.0028752831,.002877516,.0049349773,1
.75,.25,.5,.25,.75,.5,.25,.75,1.42,268,.0039080586,.001891712,.025810255,.0022738294,.017576501,.0020138421,.18814395,.0055602342,-.00016800009,.0024794436,-.00012800001,.002481045,matched (3),.0019069848,.0029399986,.0023227755,.040958382,.0024794717,.0024810613,.0039080586,1
.75,.25,.5,.25,.75,.5,.5,.5,-1.6,269,.0078603709,.0017801687,.0012281646,.0019513562,-.011698366,.001901218,-.58458376,.005971998,-.00010800023,.0023788004,-.00011000027,.0023801799,matched (3),.0018419542,.0019528646,.0020380698,.34771016,.0023788121,.002380192,.0012281646,2
.75,.25,.5,.25,.75,.5,.5,.5,1.6,270,.0026629572,.0020414114,.019510478,.0023447138,.018166443,.0022490299,-.02484693,.0070802458,-.0013759999,.0025956058,-.0013459999,.0025959187,matched (3),.0020485027,.0027253726,.0025790497,.0076976158,.0025974992,.0025977304,.0026629572,1
.75,.25,.5,.25,.75,1.42,.75,.25,-1.42,271,.016987054,.0017570166,.00062454178,.0019412969,-.0044165608,.0018576548,-.96125048,.0070760674,.00041200058,.0024034642,.00039600045,.0024054786,matched (3),.0020455767,.001941687,.0018771607,.93107855,.0024036339,.0024056355,.00062454178,2
.75,.25,.5,.25,.75,1.42,.75,.25,-.5,272,.015431589,.0019814931,.0059377919,.0021252932,.0042294324,.0020197209,-.80270928,.0073234872,.0010099992,.0027378765,.0010159992,.0027373824,matched (3),.0022196269,.0021605506,.002037609,.65166569,.0027388965,.0027384146,.0042294324,3
.75,.25,.5,.25,.75,1.42,.75,.25,.5,273,.013669685,.0020266252,.011514791,.0021505319,.01346352,.002085563,-.63269514,.0070547732,.000033999986,.0026978885,.000071999973,.0026962063,matched (3),.0022134855,.0022831224,.0022668294,.4073579,.0026978897,.0026962114,.011514791,2
.75,.25,.5,.25,.75,1.42,.75,.25,1.42,274,.012246567,.0017134756,.016795216,.0018239234,.022052797,.0018518157,-.47619191,.0068213586,-.00015900009,.002145994,-.00014800005,.0021461246,matched (3),.001863454,.0021060028,.0023381417,.2335801,.0021460194,.0021461465,.012246567,1
.75,.25,.5,.25,.75,1.42,.25,.75,-1.42,275,.016969405,.0013897943,.013169241,.0015842437,-.0043048994,.0014645306,-.47201294,.0043605012,.0014939993,.0019205599,.0014659995,.001921017,matched (3),.001677755,.0017576726,.0014830627,.22715671,.0019227919,.0019231661,.0043048994,3
.75,.25,.5,.25,.75,1.42,.25,.75,-.5,276,.015643749,.0016401126,.01858473,.0018852953,.0043728147,.0016612529,-.30479506,.0045326021,.0015,.0023152377,.001502,.0023154397,matched (3),.0018848395,.0022306875,.0016803745,.097432628,.0023174877,.0023176956,.0043728147,3
.75,.25,.5,.25,.75,1.42,.25,.75,.5,277,.014118494,.0017688515,.024343126,.0020838478,.013784657,.0018102365,-.12704854,.0049351435,.00031599973,.0024702046,.00033599985,.0024708593,matched (3),.0019681833,.0026764355,.0020002532,.021076474,.0024703045,.0024709722,.013784657,3
.75,.25,.5,.25,.75,1.42,.25,.75,1.42,278,.013091576,.0016092709,.030121218,.0019858214,.022922292,.0017352283,.035403166,.005448163,.00031399995,.0021375646,.00034799997,.0021386168,matched (3),.0017806602,.0028931091,.0022606598,.0067015472,.0021376631,.0021387378,.013091576,1
.75,.25,.5,.25,.75,1.42,.5,.5,-1.6,279,.017043889,.0014847487,.00553913,.0016800259,-.0063525732,.0016233313,-.73732454,.0059274444,.00037400084,.0020696325,.00036600087,.0020707364,matched (3),.0017752429,.0017107079,.0016636865,.54957491,.0020697725,.0020708703,.00553913,2
.75,.25,.5,.25,.75,1.42,.5,.5,1.6,280,.011846474,.001746423,.023821441,.0020503104,.023512233,.0019654862,-.17758772,.0068557751,-.00089399994,.0022260428,-.00086999993,.0022268537,matched (3),.0018867619,.0026177715,.0025183114,.038393173,.0022268421,.0022276107,.011846474,1
.75,.25,.5,.5,.5,-1.6,.75,.25,-1.42,281,-.012043349,.0016579275,-.0099465316,.0018024775,-.020789266,.001802541,-.20944917,.0078277523,.0007390001,.0023438458,.00075600005,.0023449745,matched (3),.0018029698,.001901411,.0022347346,.051696707,.002344392,.0023455461,.0099465316,2
.75,.25,.5,.5,.5,-1.6,.75,.25,-.5,282,-.013598813,.0018913898,-.0046332791,.0020246159,-.012143272,.0019558731,-.05090794,.0082806107,.0013370001,.0027743394,.001376,.0027736393,matched (3),.0020763176,.0020460831,.0021033322,.010872229,.0027761271,.0027755327,.0046332791,2
.75,.25,.5,.5,.5,-1.6,.75,.25,.5,283,-.015360718,.0019843949,.00094371871,.0021159016,-.0029091858,.0020319417,.1191062,.0081997439,.00036099949,.0028120268,.00043199939,.0028089562,matched (3),.0022203466,.0021167921,.0020404051,.022386029,.0028121572,.0028091429,.00094371871,2
.75,.25,.5,.5,.5,-1.6,.75,.25,1.42,284,-.016783837,.0016089943,.0062241424,.0017519133,.0056800903,.0017130107,.2756094,.008212856,.00016799888,.0022225522,.00021199834,.0022229953,matched (3),.0018906915,.0017906533,.0017452742,.084173396,.0022225804,.0022230402,.0056800903,3
.75,.25,.5,.5,.5,-1.6,.25,.75,-1.42,285,-.012060998,.0015217115,.0025981674,.0015877262,-.020677606,.0016452782,.27978837,.0055565559,.001821,.0020298292,.0018259999,.0020327065,matched (3),.0016671792,.0015944766,.0020728416,.08383809,.0020331452,.0020360409,.0025981674,2
.75,.25,.5,.5,.5,-1.6,.25,.75,-.5,286,-.013386653,.0017956089,.0080136582,.0019462153,-.01199989,.0018364195,.44700626,.0061377245,.0018270001,.0025700617,.0018620001,.0025700845,matched (3),.0019748113,.0020104339,.0019804167,.20595232,.0025733996,.0025735516,.0080136582,2
.75,.25,.5,.5,.5,-1.6,.25,.75,.5,287,-.014911908,.0019487552,.013772055,.0021854425,-.0025880469,.0019706273,.62475276,.0065433607,.00064300018,.0028046381,.00069600024,.0028053783,matched (3),.0021711201,.0023751119,.0019773254,.39685938,.0028050516,.0028058628,.0025880469,3
.75,.25,.5,.5,.5,-1.6,.25,.75,1.42,288,-.015938828,.0016808024,.019550147,.0020237735,.0065495861,.0017743587,.7872045,.0071064183,.00064099958,.0024318832,.00070799969,.0024338008,matched (3),.0019348487,.0024059818,.0018172557,.62679738,.0024322942,.0024343021,.0065495861,3
.75,.25,.5,.5,.5,-1.6,.5,.5,-1.6,289,-.011986515,.0014932213,-.0050319429,.0015982481,-.02272528,.0016842093,.014476764,.0067384574,.00070099998,.0020697948,.000726,.0020715895,matched (3),.0016368978,.0016235686,.0022006477,.0069480343,.0020702863,.0020721166,.0050319429,2
.75,.25,.5,.5,.5,-1.6,.5,.5,1.6,290,-.017183928,.0016838261,.01325037,.0019615211,.0071395277,.0018406546,.57421362,.0087743085,-.00056700024,.0023687582,-.00051000068,.002369947,matched (3),.0019791136,.0021370933,.0018916274,.33849558,.0023690797,.0023702071,.0071395277,3
.75,.25,.5,.5,.5,1.6,.75,.25,-1.42,291,.018515332,.0017804648,.0035420822,.0019827385,-.0036964593,.0018882571,-.75407982,.0076976493,-.00036399954,.0024855889,-.00037599952,.0024850015,matched (3),.0021232823,.0019952848,.0019019209,.576334,.0024857214,.0024851428,.0035420822,2
.75,.25,.5,.5,.5,1.6,.75,.25,-.5,292,.016959867,.0019446671,.0088553326,.0021147497,.0049495338,.0019958159,-.59553856,.0078666313,.00023399996,.0027775425,.00024399989,.0027755029,matched (3),.0022323041,.0021931666,.0020203139,.36253279,.0027775972,.0027755625,.0049495338,3
.75,.25,.5,.5,.5,1.6,.75,.25,.5,293,.015197962,.0019707158,.014432331,.0021354342,.01418362,.0020555705,-.42552444,.0077976831,-.00074200024,.0027131808,-.00070000032,.0027098781,matched (3),.0022016938,.0023437263,.0022567455,.18886873,.0027137315,.0027103683,.01418362,3
.75,.25,.5,.5,.5,1.6,.75,.25,1.42,294,.013774844,.0016169318,.019712755,.0017786203,.022772897,.0017870374,-.26902124,.0075109014,-.00093500008,.002114261,-.00092000008,.0021133421,matched (3),.0018066781,.002167213,.0023056422,.07988333,.0021151353,.0021141884,.013774844,1
.75,.25,.5,.5,.5,1.6,.25,.75,-1.42,295,.018497683,.001539656,.01608678,.0017690839,-.0035847977,.0016179379,-.26484227,.0050842664,.00071800087,.0021140811,.0006940008,.0021135206,matched (3),.0018818203,.0020278683,.0016307887,.075225696,.0021145965,.0021140024,.0035847977,3
.75,.25,.5,.5,.5,1.6,.25,.75,-.5,296,.017172027,.0017660973,.021502269,.0020582033,.0050929161,.0017958903,-.097624399,.0054469695,.00072399987,.0024603806,.00072999985,.0024594427,matched (3),.0020609759,.002520551,.0018218281,.014977492,.0024609047,.0024599757,.0050929161,3
.75,.25,.5,.5,.5,1.6,.25,.75,.5,297,.015646772,.0018881926,.027260665,.0022647798,.014504759,.0019490836,.080122143,.0058514625,-.00046000004,.0026571772,-.00043600009,.0026552547,matched (3),.0021330141,.0030079237,.0021594716,.012271021,.0026573888,.0026554447,.014504759,3
.75,.25,.5,.5,.5,1.6,.25,.75,1.42,298,.014619853,.0016813644,.033038758,.0021290933,.023642393,.0018290336,.24257384,.0062362072,-.00046199997,.0022651625,-.000424,.0022662019,matched (3),.0018951045,.0032206527,.0023879963,.065078273,.002265376,.0022663816,.014619853,1
.75,.25,.5,.5,.5,1.6,.5,.5,-1.6,299,.018572165,.0015370086,.0084566688,.001745199,-.0056324736,.0016706729,-.53015387,.0066727558,-.0004019987,.0021478063,-.00040599896,.0021475467,matched (3),.0018819339,.0018167142,.0017023977,.28773588,.0021479679,.0021477116,.0056324736,3
.75,.25,.5,.5,.5,1.6,.5,.5,1.6,300,.013374751,.001729805,.026738981,.0020880292,.024232334,.001970385,.029582949,.0077525848,-.00167,.0022912733,-.001642,.0022899215,matched (3),.001908689,.0028030023,.0025575911,.008627736,.0022940622,.0022926177,.013374751,1
.75,.25,1.42,.75,.25,-1.42,.75,.25,-1.42,301,-.043070804,.0022591793,.1642331,.055449903,-.19434768,.022702307,.033435136,.016988141,.0022420001,.0032599855,.00202,.003248641,matched (3),.0041142735,.082422413,.060473327,.018106049,.0032650121,.0032527214,.033435136,4
.75,.25,1.42,.75,.25,-1.42,.75,.25,-.5,302,-.02642438,.0025599729,.16709834,.050018236,-.075328492,.013741076,.22763985,.01859816,.0028059999,.0041694241,.0026379998,.0041562924,matched (3),.0032582209,.077940091,.019415457,.07041806,.0041772979,.0041632513,.02642438,1
.75,.25,1.42,.75,.25,-1.42,.75,.25,.5,303,-.0079643959,.0026485727,.17000328,.042099308,.054004245,.013723649,.43697107,.020200882,.0018620002,.0040282109,.0018140001,.0040183412,matched (3),.0027120044,.071000427,.016640108,.2111446,.0040316777,.004021632,.0079643959,1
.75,.25,1.42,.75,.25,-1.42,.75,.25,1.42,304,.0076665636,.0022312296,.17183998,.034267586,.17285249,.022608388,.62959385,.022146534,-.00050799985,.0027918101,-.00054599979,.0027914282,matched (3),.0022900058,.063796565,.052486371,.41853493,.0027920681,.0027917263,.0076665636,1
.75,.25,1.42,.75,.25,-1.42,.25,.75,-1.42,305,-.043909676,.0021035632,.49252713,.16590036,-.19901869,.02329587,.5134418,.0055906633,.00205,.0028055438,.002114,.0027997836,matched (3),.0040316228,.40848333,.062904306,.26921314,.0028097464,.0028042526,.043909676,1
.75,.25,1.42,.75,.25,-1.42,.25,.75,-.5,306,-.025121594,.0024613363,.50131774,.15915073,-.080658719,.013462777,.71976864,.0065139774,.004644,.00411192,.0047579999,.0041114804,matched (3),.0030924308,.41047022,.019968607,.5245809,.0041334867,.004134119,.025121594,1
.75,.25,1.42,.75,.25,-1.42,.25,.75,.5,307,-.0074799461,.0026115449,.50551873,.15077339,.049995001,.013166627,.94205409,.0078176595,.0041100006,.0042975331,.0042880001,.004280312,matched (3),.0026674946,.40632257,.015666127,.89528358,.0043144254,.0042986991,.0074799461,1
.75,.25,1.42,.75,.25,-1.42,.25,.75,1.42,308,.0090899281,.0024544594,.51151627,.14244755,.17153253,.023017151,1.1458782,.0092512444,.0026140008,.0036733206,.0029360007,.003665034,matched (3),.0025370861,.40409645,.052440558,1.322288,.0036801537,.003673654,.0090899281,1
.75,.25,1.42,.75,.25,-1.42,.5,.5,-1.6,309,-.046613872,.0022115256,.32997918,.11070237,-.22015141,.027205579,.25806624,.011135814,.0019640001,.0028684339,.0019979998,.0028682088,matched (3),.0043843784,.21958862,.075672224,.077733994,.0028722913,.0028722009,.046613872,1
.75,.25,1.42,.75,.25,-1.42,.5,.5,1.6,310,.010444167,.0025958943,.3444553,.083520636,.19700326,.030291284,.95210332,.018609673,-.001398001,.003198379,-.0011900004,.0032019338,matched (3),.002704975,.20217009,.069101565,.9251104,.0032003333,.0032033499,.010444167,1
.75,.25,1.42,.75,.25,-.5,.75,.25,-1.42,311,-.030426063,.0024518664,.17335492,.056143064,-.18385239,.022885812,-.13163678,.017413618,.0022820001,.0035785602,.0020540003,.0035674549,matched (3),.0033776117,.086194992,.056687515,.03474186,.0035837677,.0035716738,.030426063,1
.75,.25,1.42,.75,.25,-.5,.75,.25,-.5,312,-.013779638,.0027769571,.17622018,.050704643,-.064833209,.013968302,.062567934,.018845581,.0028460003,.0044713924,.0026720001,.0044579157,matched (3),.0029668356,.081758194,.018171648,.022760326,.0044794921,.0044650552,.013779638,1
.75,.25,1.42,.75,.25,-.5,.75,.25,.5,313,.0046803458,.0029247194,.17912512,.042734828,.064499535,.014082021,.27189916,.020469189,.0019019999,.0042941771,.001848,.0042853211,matched (3),.002946625,.074820638,.01824221,.094398342,.0042977948,.0042887363,.0046803458,1
.75,.25,1.42,.75,.25,-.5,.75,.25,1.42,314,.020311307,.0025094997,.18096182,.034927372,.18334778,.023191951,.46452197,.022292102,-.00046800027,.0030005565,-.00051200023,.0030010676,matched (3),.0029220488,.067674555,.05680836,.23807277,.0030007756,.0030013297,.020311307,1
.75,.25,1.42,.75,.25,-.5,.25,.75,-1.42,315,-.031264935,.0021934998,.50164896,.16681173,-.18852341,.023495225,.3483699,.005672222,.0020900001,.0029639062,.0021480001,.0029555254,matched (3),.003170996,.41846341,.059036303,.1270338,.0029682743,.0029601394,.031264935,1
.75,.25,1.42,.75,.25,-.5,.25,.75,-.5,316,-.012476853,.0026143894,.51043957,.16007935,-.070163429,.01363732,.55469674,.0065339664,.0046840003,.0043204385,.0047920002,.004316648,matched (3),.0027700614,.42062789,.018560227,.31422243,.0043423781,.0043396112,.012476853,1
.75,.25,1.42,.75,.25,-.5,.25,.75,.5,317,.0051647965,.0028530776,.51464057,.15165447,.060490288,.013431107,.77698219,.0077631604,.0041499999,.004562974,.0043219998,.0045465324,matched (3),.0028797528,.41650939,.017090181,.6114645,.0045801965,.0045652119,.0051647965,1
.75,.25,1.42,.75,.25,-.5,.25,.75,1.42,318,.021734672,.0026824386,.52063811,.14329053,.18202782,.023386454,.98080629,.0092059858,.0026540002,.0039027412,.0029700003,.0038954986,matched (3),.0031548345,.41435456,.056520581,.971187,.0039097848,.0039043194,.021734672,1
.75,.25,1.42,.75,.25,-.5,.5,.5,-1.6,319,-.03396913,.002280832,.33910102,.11124513,-.20965612,.027236214,.092994325,.011412011,.0020040001,.0030391274,.0020320001,.0030378706,matched (3),.003434734,.22623463,.071191899,.020059954,.0030431435,.0030419996,.03396913,1
.75,.25,1.42,.75,.25,-.5,.5,.5,1.6,320,.023088912,.0028464701,.35357714,.084208421,.20749855,.030697294,.78703135,.018715562,-.0013580006,.0033992513,-.0011560005,.0034056921,matched (3),.003379568,.20922521,.07375294,.63813388,.0034010955,.0034070285,.023088912,1
.75,.25,1.42,.75,.25,.5,.75,.25,-1.42,321,-.016694069,.0025893168,.18318588,.056615565,-.17250513,.02297781,-.30947787,.016995054,.0018759994,.0036555622,.0016499998,.0036524453,matched (3),.0028680088,.090172634,.052735828,.1127716,.0036590816,.0036551678,.016694069,1
.75,.25,1.42,.75,.25,.5,.75,.25,-.5,322,-.000047643865,.0028013103,.18605113,.05101002,-.05348593,.014073013,-.11527315,.018522322,.00244,.004412259,.0022679998,.0044024452,matched (3),.0028013126,.085625045,.016933758,.03181022,.0044182125,.0044075889,.000047643865,1
.75,.25,1.42,.75,.25,.5,.75,.25,.5,323,.01841234,.0029459323,.18895605,.043055598,.075846806,.014340177,.094058074,.020045077,.0014959999,.0041958038,.0014440001,.0041852794,matched (3),.0032849465,.078759991,.020092916,.028891999,.0041980417,.0041873646,.01841234,1
.75,.25,1.42,.75,.25,.5,.75,.25,1.42,324,.034043305,.0025899503,.19079277,.035114367,.19469506,.023408905,.28668088,.021980995,-.00087399996,.0029719062,-.00091600011,.0029722042,matched (3),.003748897,.071516246,.061315071,.10416692,.0029726701,.0029730434,.034043305,1
.75,.25,1.42,.75,.25,.5,.25,.75,-1.42,325,-.017532941,.0024504983,.51147991,.16765632,-.17717613,.023700768,.17052881,.0056542302,.0016839994,.0031558753,.0017439994,.0031483546,matched (3),.0027579023,.42926803,.055092148,.034734305,.0031587111,.0031513961,.017532941,1
.75,.25,1.42,.75,.25,.5,.25,.75,-.5,326,.0012551415,.0027834401,.52027053,.16074795,-.058816154,.013897083,.37685564,.0064967806,.004278,.0044208118,.0043879999,.0044235443,matched (3),.0027850154,.43142936,.017356422,.14851695,.0044391132,.0044427989,.0012551415,1
.75,.25,1.42,.75,.25,.5,.25,.75,.5,327,.01889679,.0029922049,.52447152,.15242392,.071837567,.013797726,.59914112,.0077177412,.0037439999,.004545297,.003918,.0045310641,matched (3),.0033492935,.42749429,.018958362,.36668783,.0045593143,.0045464146,.01889679,1
.75,.25,1.42,.75,.25,.5,.25,.75,1.42,328,.035466667,.0028470724,.53046906,.14406992,.1933751,.023773197,.80296522,.0090716556,.0022480001,.0039035766,.002566,.0038991868,matched (3),.004104957,.42546734,.061167125,.65382481,.00390863,.0039057713,.035466667,1
.75,.25,1.42,.75,.25,.5,.5,.5,-1.6,329,-.020237135,.0024698798,.34893194,.11212306,-.19830884,.027509814,-.084846757,.011238812,.0015979999,.0031768309,.0016280003,.003183123,matched (3),.0028794215,.23387656,.066836208,.018437784,.0031793846,.0031857733,.020237135,1
.75,.25,1.42,.75,.25,.5,.5,.5,1.6,330,.036820907,.0030035982,.36340806,.08495754,.21884583,.031286601,.60919029,.018276645,-.0017639999,.0034128816,-.00156,.0034201317,matched (3),.0043593775,.21702296,.079180099,.38938946,.0034159934,.0034225653,.036820907,1
.75,.25,1.42,.75,.25,1.42,.75,.25,-1.42,331,-.0035228392,.0024569901,.19279197,.056836385,-.16152163,.022489531,-.46855977,.016499737,.0019960003,.003568938,.0017760005,.0035654746,matched (3),.0024694004,.09400513,.048578769,.236048,.003572922,.0035686288,.0035228392,1
.75,.25,1.42,.75,.25,1.42,.75,.25,-.5,332,.013123584,.0026275089,.19565722,.051153995,-.042502437,.013883159,-.27435505,.018001558,.0025600002,.0042080046,.0023940005,.0041992017,matched (3),.0027997375,.089435741,.015689615,.093272254,.0042145583,.0042049331,.013123584,1
.75,.25,1.42,.75,.25,1.42,.75,.25,.5,333,.031583566,.0027852624,.19856215,.043100368,.086830303,.014316604,-.065023832,.019648289,.0016159998,.0040196879,.0015699998,.0040074596,matched (3),.0037827841,.082527295,.021856107,.023876388,.0040222993,.0040099244,.031583566,1
.75,.25,1.42,.75,.25,1.42,.75,.25,1.42,334,.04721453,.0023551704,.20039886,.035009112,.20567855,.023531305,.12759897,.021646278,-.00075400004,.0027477541,-.00078999996,.0027472514,matched (3),.0045843823,.075168818,.065834969,.037927777,.0027483227,.0027478754,.04721453,1
.75,.25,1.42,.75,.25,1.42,.25,.75,-1.42,335,-.0043617119,.0023042678,.52108598,.16850752,-.16619264,.023127414,.011446906,.0052941595,.0018039997,.0029923723,.0018699996,.0029834653,matched (3),.0023232924,.44003811,.050747406,.005425191,.0029956268,.0029869622,.0043617119,1
.75,.25,1.42,.75,.25,1.42,.25,.75,-.5,336,.014426369,.0026358638,.52987659,.16153651,-.04783266,.013568081,.21777375,.0061267372,.004398,.0042422148,.0045140004,.0042438158,matched (3),.0028439839,.44230571,.015856044,.053552143,.004261557,.0042641922,.014426369,1
.75,.25,1.42,.75,.25,1.42,.25,.75,.5,337,.032068018,.0027932446,.53407758,.15307707,.082821056,.013684215,.44005921,.0074235941,.0038640001,.0043098074,.0040440001,.0042986916,matched (3),.0038216023,.43831593,.020543542,.2010757,.0043247379,.0043150457,.032068018,1
.75,.25,1.42,.75,.25,1.42,.25,.75,1.42,338,.048637893,.0026492099,.54007518,.14469385,.20435859,.023935325,.64388329,.008715543,.0023680001,.0037012766,.002692,.0036988414,matched (3),.0050148545,.43637505,.065697759,.42330122,.0037068841,.0037060883,.048637893,1
.75,.25,1.42,.75,.25,1.42,.5,.5,-1.6,339,-.0070659048,.0023450206,.35853803,.11247334,-.18732536,.026725983,-.24392867,.010941164,.0017180005,.0030748493,.0017540006,.0030801075,matched (3),.0023949477,.24102286,.061816774,.070442364,.0030778009,.0030831841,.0070659048,1
.75,.25,1.42,.75,.25,1.42,.5,.5,1.6,340,.049992133,.0027400639,.37301415,.085066803,.22982931,.031315118,.45010838,.017773757,-.0016439999,.0031325179,-.001434,.0031383683,matched (3),.0052392771,.22420636,.084136628,.22037131,.0031352206,.0031404246,.049992133,1
.75,.25,1.42,.25,.75,-1.42,.75,.25,-1.42,341,-.043733064,.0024815632,.15533502,.055886548,-.19503255,.022406098,-.46938631,.016244955,.001538,.0035099061,.001316,.0035067901,matched (3),.0043941443,.080015518,.060443792,.23656847,.0035122717,.0035085219,.043733064,1
.75,.25,1.42,.25,.75,-1.42,.75,.25,-.5,342,-.027086638,.0027845255,.15820028,.050490849,-.076013371,.013750852,-.27518159,.017640093,.0021020004,.0044362564,.0019340002,.0044347867,matched (3),.0035182114,.075518176,.019528884,.093364999,.0044406746,.0044385269,.027086638,1
.75,.25,1.42,.25,.75,-1.42,.75,.25,.5,343,-.0086266538,.0028201423,.1611052,.042442817,.053319369,.014085594,-.065850362,.019212699,.0011580003,.0043014782,.0011100001,.0043007247,matched (3),.0028945615,.068397701,.016928548,.023548968,.0043028193,.0043019569,.0086266538,1
.75,.25,1.42,.25,.75,-1.42,.75,.25,1.42,344,.0070043062,.0024727422,.16294192,.034655485,.17216761,.023402609,.12677243,.021433813,-.0012120005,.0030750718,-.0012500007,.0030802505,matched (3),.0025218024,.061205555,.053044297,.037505064,.0030765408,.003081813,.0070043062,1
.75,.25,1.42,.25,.75,-1.42,.25,.75,-1.42,345,-.044571936,.002010342,.48362905,.166353,-.19970357,.022684494,.010620377,.0049056313,.001346,.0026646545,.00141,.0026619886,matched (3),.0039969995,.40025005,.062566012,.0050184238,.0026664662,.0026639767,.010620377,4
.75,.25,1.42,.25,.75,-1.42,.25,.75,-.5,346,-.025783852,.0023597481,.49241966,.15950486,-.081343591,.013120658,.21694721,.0057655219,.0039399997,.0040106555,.0040539997,.0040178434,matched (3),.003024555,.40198198,.019737437,.052831616,.0040261792,.0040342784,.025783852,1
.75,.25,1.42,.25,.75,-1.42,.25,.75,.5,347,-.008142205,.0025985003,.49662066,.15133353,.049310125,.013328633,.43923268,.0069932579,.0034060001,.0043810369,.0035840003,.0043720696,matched (3),.0026647958,.39796561,.015760122,.1999186,.0043926379,.0043849149,.008142205,1
.75,.25,1.42,.25,.75,-1.42,.25,.75,1.42,348,.0084276693,.0023649051,.50261819,.1429358,.17084765,.023546966,.64305681,.0083726002,.0019099988,.0037234616,.0022319991,.0037233799,matched (3),.0024359308,.39556086,.052735887,.42189467,.0037271096,.0037283618,.0084276693,1
.75,.25,1.42,.25,.75,-1.42,.5,.5,-1.6,349,-.047276128,.0022293543,.3210811,.11112001,-.22083628,.026726739,-.24475519,.010524617,.00126,.0028549186,.001294,.0028592972,matched (3),.0044643865,.21421309,.0754954,.07042972,.0028565063,.0028609717,.047276128,1
.75,.25,1.42,.25,.75,-1.42,.5,.5,1.6,350,.0097819082,.0025947082,.33555722,.083661176,.19631839,.030912023,.44928184,.017772164,-.0021020009,.0032570858,-.0018940005,.0032679641,matched (3),.0026903939,.19625983,.069452934,.21962634,.0032615042,.0032715513,.0097819082,1
.75,.25,1.42,.25,.75,-.5,.75,.25,-1.42,351,-.030683395,.0026923374,.16483778,.056351773,-.18414493,.022673577,-.63137567,.016415499,.0019019999,.0037578486,.0016720002,.0037477021,matched (3),.0036338081,.083523266,.056582931,.41505075,.0037614661,.0037504977,.030683395,1
.75,.25,1.42,.25,.75,-.5,.75,.25,-.5,352,-.014036969,.0029414597,.16770303,.050784249,-.065125734,.013957286,-.43717095,.017901175,.0024659999,.0045955712,.0022899997,.0045875334,matched (3),.0031384961,.078908555,.018198647,.20901962,.0046016523,.0045927777,.014036969,1
.75,.25,1.42,.25,.75,-.5,.75,.25,.5,353,.0044230153,.002989986,.17060795,.042641573,.064207003,.0143037,-.22783972,.019494301,.0015220002,.0044154008,.0014660003,.0044085532,matched (3),.0030095491,.071748644,.018426239,.071405239,.0044177175,.0044107023,.0044230153,1
