p_0,p_1,alpha_2,mu0_0,mu0_1,beta_2,mu1_0,mu1_1,gamma_2,count,bias_RA,var_RA,bias_IPW,var_IPW,bias_AIPW,var_AIPW,bias_IPWRA,var_IPWRA,bias_NNMATCH,var_NNMATCH,bias_PSMATCH,var_PSMATCH,_merge,MSE_RA,MSE_IPW,MSE_AIPW,MSE_IPWRA,MSE_NNMATCH,MSE_PSMATCH,min_absbias,minimizing_absbias
.75,.25,-1.42,.75,.25,.5,.75,.25,-1.42,21,.0095547633,.002846665,-.49097356,.15797113,-.046076823,.014395842,-.35839814,.018585933,-.0012010008,.0046289079,-.0014180008,.0046415362,matched (3),.0029379586,.39902616,.016518915,.14703517,.0046303505,.0046435469,.0095547633,1
.75,.25,-1.42,.75,.25,.5,.75,.25,-.5,22,-.0039623696,.0030003344,-.5008353,.15803526,-.057386186,.014627327,-.2124939,.018661717,-.0017070002,.0046924022,-.001908,.0047078887,matched (3),.0030160348,.40887126,.017920502,.06381537,.0046953158,.0047115292,.0039623696,1
.75,.25,-1.42,.75,.25,.5,.75,.25,.5,23,-.018505236,.003009645,-.51144421,.15808378,-.069557011,.014502613,-.057277635,.018138258,-.0014180001,.0047886763,-.0015980001,.0048021465,matched (3),.0033520889,.41965896,.019340791,.021418985,.004790687,.0048047001,.018505236,1
.75,.25,-1.42,.75,.25,.5,.75,.25,1.42,24,-.031849839,.0027897151,-.52121025,.1581398,-.080715328,.014398232,.085274108,.018190481,-.0015240002,.004534876,-.0017200002,.0045445184,matched (3),.0038041272,.42979991,.020913197,.025462154,.0045371987,.0045474768,.031849839,1
.75,.25,-1.42,.75,.25,.5,.25,.75,-1.42,25,.0093295621,.0029835233,-.49958512,.15687959,-.046303362,.014345561,.13537441,.017995451,-.0011749998,.0046036537,-.0013669999,.0046191174,matched (3),.003070564,.40646487,.016489562,.036321681,.0046050344,.0046209861,.0093295621,1
.75,.25,-1.42,.75,.25,.5,.25,.75,-.5,26,-.0034651107,.0031370753,-.50880456,.15715428,-.05691674,.014412112,.28673649,.018163174,-.0010459998,.0046502869,-.0012349997,.004665961,matched (3),.0031490824,.41603637,.017651627,.10038099,.0046513812,.0046674861,.0034651107,1
.75,.25,-1.42,.75,.25,.5,.25,.75,.5,27,-.017869113,.0031306837,-.51929611,.15714478,-.068956055,.014283687,.44748434,.018343326,-.001092,.0046635126,-.0012750002,.0046772696,matched (3),.0034499888,.42681324,.019038625,.21858557,.0046647051,.0046788952,.017869113,1
.75,.25,-1.42,.75,.25,.5,.25,.75,1.42,28,-.031055214,.0029813549,-.5288766,.1572935,-.079960257,.014315849,.59116977,.018218886,-.0010590001,.004623706,-.0012380001,.0046359752,matched (3),.0039457814,.43700397,.020709492,.36770058,.0046248273,.0046375077,.031055214,1
.75,.25,-1.42,.75,.25,.5,.5,.5,-1.6,29,.011822173,.002849007,-.49359733,.15752849,-.044237785,.014388519,-.1344468,.018142058,-.001985,.0045613432,-.0021870001,.0045799608,matched (3),.0029887708,.40116683,.016345501,.036217999,.0045652837,.0045847436,.011822173,1
.75,.25,-1.42,.75,.25,.5,.5,.5,1.6,30,-.034478638,.0029468227,-.52736455,.15848041,-.082923874,.014335888,.37369245,.018670702,-.0021140003,.0047776271,-.0022940002,.0047897943,matched (3),.0041355994,.43659377,.021212256,.15831675,.004782096,.0047950568,.034478638,1
.75,.25,-1.42,.75,.25,1.42,.75,.25,-1.42,31,-.007441096,.0026892663,-.49436313,.14431928,-.16717714,.024760062,-.47005901,.01687048,-.0014169988,.0036141942,-.0016499988,.0036228774,matched (3),.0027446363,.38871419,.052708257,.23782595,.0036162022,.0036255999,.007441096,1
.75,.25,-1.42,.75,.25,1.42,.75,.25,-.5,32,-.020958232,.0027473082,-.50422484,.14429289,-.17848651,.025049601,-.32415473,.017263904,-.0019229996,.0036807568,-.0021399995,.0036912176,matched (3),.0031865558,.39853558,.056907035,.12234019,.0036844546,.0036957972,.020958232,1
.75,.25,-1.42,.75,.25,1.42,.75,.25,.5,33,-.0355011,.0027079482,-.51483381,.1442154,-.19065733,.024935951,-.16893849,.016663007,-.0016340002,.0037380876,-.0018300001,.0037461179,matched (3),.0039682765,.40926924,.06128617,.04520322,.0037407575,.0037494667,.0355011,1
.75,.25,-1.42,.75,.25,1.42,.75,.25,1.42,34,-.048845701,.0025129635,-.52459985,.14420149,-.20181565,.024837554,-.026386742,.016757881,-.0017400002,.0035512967,-.0019520002,.003552946,matched (3),.0048988662,.4194065,.065567113,.017454142,.0035543242,.0035567563,.026386742,4
.75,.25,-1.42,.75,.25,1.42,.25,.75,-1.42,35,-.0076662991,.0027278257,-.50297469,.14317121,-.16740368,.024233704,.023713566,.016472159,-.001391,.003562741,-.0015990002,.003574278,matched (3),.0027865977,.39615473,.052257698,.017034492,.0035646758,.0035768347,.0076662991,1
.75,.25,-1.42,.75,.25,1.42,.25,.75,-.5,36,-.020460973,.0028748948,-.51219416,.1433305,-.17801706,.024288205,.17507564,.01666769,-.0012619996,.0036389392,-.0014669995,.0036513752,matched (3),.0032935461,.40567335,.05597828,.047319166,.0036405318,.0036535272,.020460973,1
.75,.25,-1.42,.75,.25,1.42,.25,.75,.5,37,-.034864973,.0028507183,-.52268571,.14325611,-.19005637,.024191163,.33582348,.017038712,-.0013079999,.0036537666,-.0015069999,.003661084,matched (3),.0040662847,.41645646,.060312588,.12981611,.0036554774,.003663355,.034864973,1
.75,.25,-1.42,.75,.25,1.42,.25,.75,1.42,38,-.048051074,.0027304322,-.5322662,.14336745,-.20106058,.024250178,.47950894,.016995834,-.001275,.0036194827,-.00147,.0036269783,matched (3),.005039338,.42667475,.064675532,.24692465,.0036211084,.0036291392,.048051074,1
.75,.25,-1.42,.75,.25,1.42,.5,.5,-1.6,39,-.0051736864,.0026085656,-.4969869,.14374387,-.1653381,.024455998,-.24610764,.016587025,-.0022009993,.0034780784,-.0024189993,.0034930317,matched (3),.0026353328,.39073986,.051792685,.077155992,.0034829229,.0034988832,.0051736864,1
.75,.25,-1.42,.75,.25,1.42,.5,.5,1.6,40,-.0514745,.0026024135,-.53075415,.14439324,-.2040242,.024622247,.26203161,.017329598,-.00233,.0036171263,-.0025259999,.0036257042,matched (3),.0052520377,.42609319,.066248119,.085990168,.0036225552,.0036320849,.0514745,1
.75,.25,-1.42,.25,.75,-1.42,.75,.25,-1.42,41,.046167988,.0024980367,-.14798094,.055814926,.20038521,.02405474,-.63330626,.0096932957,-.0017459999,.0036684331,-.0016139998,.003674265,matched (3),.0046295198,.077713288,.064208969,.41077012,.0036714815,.0036768699,.046167988,1
.75,.25,-1.42,.25,.75,-1.42,.75,.25,-.5,42,.032650854,.0027015994,-.15784268,.056003578,.18907584,.024244241,-.48740199,.0099214232,-.0022519999,.0037780323,-.002104,.0037896379,matched (3),.0037676776,.080917887,.059993915,.24748212,.0037831038,.0037940647,.032650854,1
.75,.25,-1.42,.25,.75,-1.42,.75,.25,.5,43,.018107986,.0027306704,-.16845162,.05602226,.17690502,.024140224,-.33218572,.0096125929,-.0019629998,.0038240636,-.001794,.003828937,matched (3),.0030585695,.08439821,.055435609,.11995994,.0038279169,.0038321554,.018107986,1
